x,y,theta
-6150,500,0
-6150,700,-
-6150,1000,-
-6150,1400,-
-6150,2000,-
-6100,3000,-
-6000,4000,-
-5850,5000,-
-5700,6000,-
-5600,7000,-
-5500,8000,-
-5500,8500,-
-5500,8900,180
-5500,9200,180
-5500,9500,180
